Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
20100104,2.28,2.0,2.23,1.28,1.94,2.24
20100105,-0.53,-0.44,0.13,0.05,0.59,1.1
20100106,-0.04,-0.03,0.22,0.36,0.52,0.86
20100107,0.77,0.84,1.44,0.22,0.5,0.92
20100108,0.39,0.92,1.22,0.34,0.52,0.34
20100111,0.55,0.08,0.41,0.12,-0.03,0.05
20100112,-1.01,-0.84,-1.03,-0.94,-1.23,-1.63
20100113,0.95,0.98,1.17,1.03,0.95,1.13
20100114,0.86,0.56,0.83,0.14,0.2,0.2
20100115,-1.55,-1.17,-0.44,-1.1,-1.22,-1.28
20100119,1.49,1.39,1.11,1.17,1.25,1.08
20100120,-1.26,-1.27,-0.22,-1.02,-0.89,-0.74
20100121,-1.96,-1.61,-0.74,-1.4,-1.35,-1.93
20100122,-1.22,-1.22,-1.44,-1.76,-2.33,-2.61
20100125,-0.13,-0.11,-0.01,0.2,0.41,0.56
20100126,-1.01,-0.85,-0.27,-0.27,-0.44,-0.67
20100127,0.76,0.85,0.15,0.32,0.23,0.34
20100128,-1.39,-1.16,-0.77,-1.32,-1.31,-0.93
20100129,-0.61,-0.76,-0.67,-1.04,-1.34,-1.44
20100201,0.85,0.93,0.86,1.41,1.9,1.96
20100202,0.69,0.24,0.67,1.14,1.37,1.65
20100203,-0.37,-0.48,-0.19,-0.43,-0.69,-0.9
20100204,-2.99,-2.66,-2.63,-2.99,-3.42,-3.84
20100205,0.46,0.51,0.25,0.34,0.08,0.18
20100208,-0.73,-0.68,-0.45,-0.63,-0.67,-0.55
20100209,1.12,1.13,1.15,1.26,1.38,1.58
20100210,0.14,0.16,0.03,-0.31,-0.18,0.01
20100211,1.49,1.54,1.28,1.27,1.49,1.11
20100212,0.74,0.62,0.54,0.17,0.17,0.22
20100216,1.19,1.32,1.48,1.49,2.02,2.07
20100217,0.63,0.42,0.67,0.6,0.5,0.43
20100218,0.5,0.85,0.26,0.58,0.62,0.48
20100219,-0.04,0.14,0.6,0.32,0.59,0.76
20100222,0.13,0.96,0.32,-0.1,-0.04,0.13
20100223,-0.28,-0.76,-0.72,-1.13,-1.61,-2.04
20100224,0.21,0.67,0.63,0.92,0.82,1.07
20100225,-0.33,-0.22,-0.17,-0.04,0.01,-0.01
20100226,-0.36,-0.33,0.05,0.17,0.12,0.28
20100301,1.75,1.67,1.32,1.51,1.53,1.56
20100302,0.99,1.01,0.99,0.54,0.62,0.71
20100303,0.11,0.3,0.52,0.03,0.32,0.08
20100304,0.5,0.61,1.13,0.2,0.23,0.46
20100305,1.54,1.84,1.68,1.37,1.61,1.63
20100308,0.57,0.24,0.63,0.0,0.14,0.47
20100309,0.37,0.27,0.47,0.15,0.09,0.25
20100310,0.49,0.7,0.9,0.54,0.71,1.22
20100311,0.66,0.32,0.37,0.31,0.33,0.61
20100312,-0.19,-0.2,-0.07,0.16,0.07,-0.17
20100315,-0.32,-0.19,-0.41,0.06,-0.27,-0.31
20100316,0.44,0.64,0.78,0.77,1.15,1.01
20100317,0.27,0.48,0.52,0.71,0.74,0.85
20100318,0.15,-0.33,-0.24,-0.05,-0.49,-0.63
20100319,-0.66,-0.34,-1.13,-0.66,-0.79,-0.96
20100322,1.05,0.87,0.74,0.96,0.8,0.71
20100323,0.82,0.95,1.06,0.73,0.87,0.96
20100324,-0.86,-0.86,-0.25,-0.87,-0.72,-0.43
20100325,-0.8,-0.55,-0.09,-0.5,-0.68,-1.1
20100326,-0.08,-0.11,0.08,0.06,0.08,0.15
20100329,0.4,0.35,0.37,0.73,0.89,1.0
20100330,-0.01,0.53,0.29,0.19,0.07,0.02
20100331,-0.46,-0.54,-0.38,-0.4,-0.35,-0.25
20100401,0.21,0.5,0.54,0.75,1.13,1.28
20100405,1.73,1.64,1.69,1.02,1.48,1.64
20100406,0.28,0.75,0.89,0.15,0.28,0.47
20100407,-0.17,0.23,0.29,-0.37,-0.6,-0.7
20100408,0.05,0.09,0.7,0.01,0.07,-0.1
20100409,0.31,0.2,0.8,0.67,0.82,0.63
20100412,1.0,0.22,0.75,0.14,0.25,0.63
20100413,0.13,0.33,0.29,0.16,0.02,-0.15
20100414,1.9,2.3,2.18,1.03,1.38,1.87
20100415,0.6,0.61,0.72,0.22,-0.04,-0.11
20100416,-0.73,-0.83,-1.13,-1.01,-1.49,-2.16
20100419,-0.35,-0.41,-0.38,-0.23,-0.04,0.08
20100420,1.55,1.33,1.42,0.94,1.31,1.65
20100421,0.17,0.52,0.96,0.05,0.19,0.46
20100422,0.92,0.91,1.5,0.72,0.89,1.03
20100423,0.41,0.95,2.12,0.74,1.0,1.18
20100426,0.03,-0.11,1.4,-0.32,-0.55,-0.81
20100427,-1.6,-1.77,-1.98,-1.95,-2.73,-3.17
20100428,0.37,0.1,-0.04,0.13,0.62,1.14
20100429,1.71,1.67,1.23,1.56,1.34,1.86
20100430,-2.27,-2.25,-1.86,-1.53,-1.77,-1.97
20100503,1.56,1.59,1.13,1.31,1.29,1.83
20100504,-2.59,-2.41,-2.42,-2.46,-2.86,-3.23
20100505,-1.39,-1.24,-1.67,-0.78,-0.98,-1.17
20100506,-3.78,-3.39,-3.24,-2.97,-3.39,-3.55
20100507,-2.03,-2.36,-2.4,-2.12,-2.2,-2.52
20100510,4.49,4.82,4.2,4.43,5.02,5.7
20100511,0.91,0.93,0.76,-0.09,-0.12,0.0
20100512,2.68,2.74,2.08,1.8,2.01,2.13
20100513,-0.31,-0.53,-0.15,-0.97,-0.98,-1.03
20100514,-1.94,-1.9,-2.05,-1.93,-2.16,-2.34
20100517,0.15,0.21,-0.47,0.51,-0.01,-0.06
20100518,-1.52,-1.53,-1.55,-1.21,-1.51,-2.05
20100519,-1.36,-1.53,-1.72,-0.65,-0.9,-0.79
20100520,-4.5,-4.42,-4.23,-3.6,-4.36,-4.8
20100521,0.83,0.96,0.99,1.18,1.74,2.14
20100524,-0.8,-1.07,-0.74,-0.81,-1.26,-1.32
20100525,-0.63,-0.7,-0.88,-0.13,0.18,0.32
20100526,0.37,0.38,0.9,-0.14,0.26,0.36
20100527,3.71,3.65,3.35,3.24,3.77,4.47
20100528,-0.7,-0.95,-0.63,-1.08,-1.19,-1.27
20100601,-2.58,-2.77,-2.44,-2.01,-2.88,-3.29
20100602,2.77,2.61,1.72,2.61,3.08,2.92
20100603,0.9,0.75,0.52,0.72,0.95,0.69
20100604,-4.06,-4.12,-3.25,-3.52,-4.03,-4.28
20100607,-2.6,-2.26,-2.57,-1.71,-1.89,-2.23
20100608,-0.4,-0.47,-1.03,0.58,0.9,0.68
20100609,-0.08,-0.15,0.04,-0.03,-0.11,-0.32
