Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
20100104,460.3,431.88,220.69,16896.97,10843.47,8978.28
20100105,470.21,442.02,227.55,17127.28,11034.68,9217.27
20100106,468.79,441.41,228.83,17110.39,11092.58,9362.13
20100107,468.21,442.2,229.29,17092.81,11103.68,9430.02
20100108,470.2,445.07,231.76,17083.67,11181.17,9547.23
20100111,471.61,447.59,233.69,17146.36,11224.62,9532.36
20100112,472.05,447.28,233.42,17176.04,11234.03,9527.67
20100113,466.8,442.15,228.45,17066.08,11114.28,9319.77
20100114,471.43,447.19,231.67,17205.97,11187.8,9428.23
20100115,473.73,449.16,233.08,17248.17,11197.17,9459.2
20100119,466.93,442.79,229.92,17089.34,11067.5,9291.08
20100120,474.65,448.74,233.55,17302.19,11213.0,9374.54
20100121,468.33,442.36,230.16,17102.29,11127.41,9325.63
20100122,460.58,436.22,225.51,16824.91,10982.71,9000.75
20100125,453.72,428.26,220.7,16493.18,10738.05,8721.51
20100126,453.31,429.0,221.94,16545.83,10788.81,8757.46
20100127,449.24,424.72,220.99,16520.87,10725.72,8661.29
20100128,454.03,429.01,222.53,16564.55,10796.79,8743.6
20100129,447.01,422.03,219.0,16328.78,10694.74,8705.18
20100201,443.0,418.45,216.12,16169.66,10610.31,8590.6
20100202,447.19,423.0,220.44,16365.2,10772.57,8756.13
20100203,451.42,425.65,223.63,16544.06,10911.12,8905.02
20100204,450.33,423.19,222.31,16497.36,10811.8,8851.97
20100205,435.69,409.49,213.2,16047.5,10460.59,8477.77
20100208,437.16,411.61,213.91,16107.15,10487.77,8524.0
20100209,433.66,407.47,212.24,15991.76,10401.64,8410.8
20100210,439.07,413.39,217.01,16196.37,10535.08,8530.5
20100211,439.39,413.94,217.49,16146.62,10511.77,8544.49
20100212,446.26,420.28,221.97,16310.67,10649.39,8599.15
20100216,449.57,423.43,224.15,16242.72,10614.82,8591.05
20100217,455.49,430.52,229.16,16483.08,10819.69,8819.07
20100218,458.12,432.75,230.82,16560.44,10852.87,8877.28
20100219,460.3,436.91,232.26,16676.78,10904.29,8927.75
20100222,461.29,438.76,234.08,16687.13,10965.95,8965.03
20100223,460.31,439.56,234.54,16650.45,10961.68,9015.45
20100224,457.15,434.39,230.78,16476.08,10810.93,8834.59
20100225,460.09,437.89,232.94,16611.82,10908.48,8981.04
20100226,460.83,437.44,233.76,16572.38,10891.01,8977.04
20100301,459.63,436.09,233.49,16596.92,10933.61,9044.1
20100302,469.94,445.21,239.66,16771.76,11063.88,9124.6
20100303,473.6,449.48,242.21,16805.22,11101.88,9157.07
20100304,474.25,450.44,243.26,16802.96,11132.41,9137.95
20100305,476.98,452.9,244.57,16856.86,11160.11,9206.75
20100308,485.09,461.77,250.29,17048.91,11334.37,9382.26
20100309,485.69,462.41,251.08,17037.56,11333.49,9412.66
20100310,487.72,463.95,252.16,17061.58,11378.42,9415.73
20100311,488.33,467.55,254.6,17111.42,11433.06,9539.93
20100312,491.04,469.28,254.88,17171.75,11466.17,9601.22
20100315,491.32,468.81,254.87,17211.75,11477.14,9566.8
20100316,489.68,467.91,253.22,17237.73,11470.04,9526.93
20100317,492.09,471.23,255.96,17333.68,11593.99,9631.41
20100318,494.52,474.52,258.08,17412.85,11658.99,9713.4
20100319,494.48,472.59,256.59,17434.88,11634.69,9656.64
20100322,489.41,468.93,251.84,17357.09,11573.77,9572.7
20100323,496.43,474.56,255.76,17455.31,11628.47,9623.34
20100324,500.89,479.8,259.32,17573.01,11723.17,9706.36
20100325,494.94,474.98,258.05,17444.09,11648.32,9737.71
20100326,491.64,472.17,255.61,17417.95,11612.83,9702.0
20100329,490.75,472.07,256.19,17418.81,11627.14,9713.39
20100330,493.25,474.34,258.2,17505.61,11716.65,9782.21
20100331,494.2,475.89,258.29,17546.48,11705.63,9733.93
20100401,490.66,472.55,256.75,17471.9,11681.43,9733.45
20100405,492.43,476.34,260.36,17556.47,11799.29,9838.65
20100406,500.39,485.31,267.15,17662.78,11930.67,9964.35
20100407,502.04,488.04,268.9,17663.06,11954.58,10026.98
20100408,498.82,487.4,268.45,17584.98,11854.64,9992.45
20100409,498.32,487.66,269.21,17615.07,11910.87,10041.85
20100412,499.83,489.93,271.46,17725.67,12004.07,10149.48
20100413,502.88,491.56,272.91,17740.67,12039.37,10179.91
20100414,503.18,492.77,273.42,17769.81,12033.28,10170.5
20100415,513.07,503.99,281.27,17888.51,12179.63,10438.0
20100416,515.53,506.54,283.58,17914.3,12205.21,10418.4
