Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
20100104,2.18,2.35,3.11,1.36,1.77,2.68
20100105,-0.3,-0.13,0.51,-0.1,0.53,1.57
20100106,-0.12,0.08,0.2,-0.08,0.18,0.73
20100107,0.43,0.65,1.08,-0.05,0.71,1.24
20100108,0.3,0.57,0.84,0.37,0.39,-0.16
20100111,0.09,-0.07,-0.19,0.17,0.08,-0.05
20100112,-1.11,-1.15,-2.13,-0.64,-1.07,-2.18
20100113,1.0,1.14,1.32,0.83,0.67,1.17
20100114,0.5,0.44,0.57,0.25,0.08,0.33
20100115,-1.43,-1.42,-1.35,-0.92,-1.15,-1.78
20100119,1.65,1.6,1.58,1.25,1.31,0.9
20100120,-1.33,-1.42,-1.45,-1.14,-0.76,-0.52
20100121,-1.65,-1.49,-2.02,-1.62,-1.3,-3.48
20100122,-1.49,-1.82,-2.13,-1.97,-2.23,-3.1
20100125,-0.09,0.17,0.49,0.32,0.47,0.41
20100126,-0.7,-1.0,-0.58,-0.15,-0.58,-1.24
20100127,0.91,1.02,0.66,0.27,0.67,0.96
20100128,-1.54,-1.62,-1.66,-1.41,-0.94,-0.44
20100129,-0.89,-0.93,-1.39,-0.97,-0.79,-1.32
20100201,0.95,1.09,2.0,1.21,1.53,1.93
20100202,0.79,0.63,1.46,1.09,1.29,1.7
20100203,-0.24,-0.67,-0.65,-0.25,-0.89,-0.59
20100204,-3.25,-3.23,-4.1,-2.73,-3.25,-4.22
20100205,0.34,0.43,0.19,0.37,0.11,0.55
20100208,-0.79,-1.0,-0.85,-0.67,-0.81,-1.33
20100209,1.25,1.46,2.25,1.28,1.28,1.42
20100210,0.09,0.16,0.24,-0.28,-0.21,0.2
20100211,1.58,1.54,2.06,1.03,1.31,0.64
20100212,0.74,0.75,0.99,-0.12,-0.28,-0.08
20100216,1.32,1.68,2.18,1.5,1.94,2.66
20100217,0.58,0.52,0.65,0.5,0.31,0.66
20100218,0.48,0.94,0.63,0.7,0.5,0.57
20100219,0.09,0.43,0.72,0.09,0.57,0.42
20100222,-0.21,0.18,0.2,-0.22,-0.04,0.56
20100223,-0.68,-1.17,-1.6,-1.05,-1.37,-2.01
20100224,0.65,0.82,0.88,0.84,0.93,1.69
20100225,0.01,-0.07,0.35,-0.22,-0.12,-0.04
20100226,-0.26,-0.3,-0.16,0.02,0.18,0.77
20100301,2.24,2.09,2.48,1.06,1.19,0.89
20100302,0.78,0.97,0.99,0.2,0.34,0.36
20100303,-0.02,0.22,0.36,0.01,0.28,-0.2
20100304,0.58,0.55,0.54,0.32,0.25,0.76
20100305,1.7,1.96,2.18,1.14,1.56,1.91
20100308,0.13,0.14,0.32,-0.06,0.02,0.35
20100309,0.42,0.33,0.36,0.15,0.16,0.04
20100310,0.56,0.79,0.97,0.31,0.49,1.32
20100311,0.56,0.4,0.13,0.39,0.3,0.65
20100312,0.06,-0.1,-0.08,0.03,0.1,-0.36
20100315,-0.33,-0.29,-0.66,0.15,-0.06,-0.42
20100316,0.49,0.71,1.08,0.56,1.08,1.1
20100317,0.5,0.7,0.83,0.46,0.56,0.85
20100318,-0.15,-0.4,-0.58,0.13,-0.2,-0.58
20100319,-1.02,-0.78,-1.85,-0.45,-0.52,-0.87
20100322,1.43,1.2,1.56,0.57,0.47,0.53
20100323,0.9,1.1,1.39,0.69,0.82,0.86
20100324,-1.19,-1.11,-0.64,-0.73,-0.64,0.32
20100325,-0.66,-0.59,-0.94,-0.15,-0.3,-0.37
20100326,-0.18,-0.12,0.23,0.01,0.12,0.12
20100329,0.53,0.49,0.72,0.51,0.8,0.71
20100330,0.19,0.33,0.04,0.25,-0.08,-0.49
20100331,-0.72,-0.7,-0.74,-0.42,-0.2,0.0
20100401,0.36,0.79,1.33,0.49,1.01,1.1
20100405,1.62,1.88,2.64,0.61,1.12,1.28
20100406,0.33,0.57,0.66,0.0,0.2,0.63
20100407,-0.64,-0.13,-0.17,-0.41,-0.77,-0.34
20100408,-0.1,0.05,0.3,0.17,0.48,0.49
20100409,0.3,0.42,0.75,0.63,0.78,0.48
