Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
20100104,618,943,1300,372,320,120
20100105,618,943,1300,372,320,120
20100106,618,943,1299,372,320,120
20100107,618,942,1299,372,320,120
20100108,618,942,1299,372,320,120
20100111,618,942,1299,372,320,120
20100112,618,942,1298,372,320,120
20100113,618,942,1298,372,320,120
20100114,618,942,1296,372,320,120
20100115,618,942,1295,372,320,120
20100119,618,942,1295,372,320,120
20100120,618,940,1295,372,320,120
20100121,618,940,1295,372,320,120
20100122,618,939,1295,372,320,120
20100125,618,939,1295,372,320,120
20100126,618,939,1294,372,320,120
20100127,617,939,1292,372,320,119
20100128,616,939,1291,372,320,119
20100129,615,939,1290,372,320,119
20100201,615,938,1289,372,320,119
20100202,615,938,1289,372,320,119
20100203,614,938,1288,372,320,119
20100204,614,937,1287,372,320,119
20100205,614,937,1287,372,320,119
20100208,614,936,1285,372,319,119
20100209,614,936,1284,372,319,119
20100210,614,936,1284,372,319,119
20100211,614,936,1284,372,319,119
20100212,614,936,1284,372,319,119
20100216,614,936,1284,371,319,119
20100217,614,936,1283,371,319,119
20100218,614,936,1282,371,319,119
20100219,614,934,1282,371,319,119
20100222,613,934,1280,371,319,119
20100223,613,934,1280,371,319,119
20100224,613,934,1280,371,319,119
20100225,613,934,1279,371,319,119
20100226,612,934,1279,371,319,119
20100301,612,934,1278,370,318,119
20100302,612,934,1276,370,318,119
20100303,612,934,1275,370,318,119
20100304,611,934,1274,370,318,119
20100305,611,934,1274,370,318,119
20100308,611,934,1272,370,318,119
20100309,611,934,1272,370,318,119
20100310,611,934,1271,370,317,119
20100311,610,934,1271,370,317,119
20100312,610,934,1271,370,317,119
20100315,610,934,1270,369,317,119
20100316,610,933,1269,369,317,119
20100317,610,933,1269,369,317,119
20100318,610,933,1269,369,317,119
20100319,609,933,1269,369,317,119
20100322,609,933,1269,369,317,119
20100323,609,933,1269,369,317,119
20100324,609,933,1269,369,317,119
20100325,609,932,1267,369,317,119
20100326,609,932,1267,369,317,119
20100329,609,931,1267,369,317,119
20100330,609,931,1266,369,317,119
20100331,609,931,1266,369,317,119
20100401,609,931,1264,369,317,119
20100405,609,930,1263,369,317,119
20100406,609,930,1262,369,317,119
20100407,609,930,1262,369,317,119
20100408,609,930,1262,369,317,119
20100409,609,930,1261,369,317,119
20100412,608,929,1260,369,317,118
