Date,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS
12/31/2024,2290.24,2290.24
12/30/2024,2292.05,2292.05
12/27/2024,2282.34,2282.34
12/26/2024,2286.94,2286.94
12/25/2024,2285.87,2285.87
12/24/2024,2285.87,2285.87
12/23/2024,2284.14,2284.14
12/20/2024,2290.42,2290.42
12/19/2024,2286.39,2286.39
12/18/2024,2292.89,2292.89
12/17/2024,2306.22,2306.22
12/16/2024,2305.35,2305.35
12/13/2024,2303.94,2303.94
12/12/2024,2312.02,2312.02
12/11/2024,2319.59,2319.59
12/10/2024,2325.53,2325.53
12/9/2024,2329.29,2329.29
12/6/2024,2334.97,2334.97
12/5/2024,2330.9,2330.9
12/4/2024,2330.44,2330.44
12/3/2024,2322.14,2322.14
12/2/2024,2327.32,2327.32
11/29/2024,2326.08,2326.08
11/28/2024,2318.35,2318.35
11/27/2024,2318.35,2318.35
11/26/2024,2311.84,2311.84
11/25/2024,2314.3,2314.3
11/22/2024,2294.49,2294.49
11/21/2024,2294.4,2294.4
11/20/2024,2296.04,2296.04
11/19/2024,2298.93,2298.93
11/18/2024,2295.27,2295.27
11/15/2024,2292.03,2292.03
11/14/2024,2291.58,2291.58
11/13/2024,2291.37,2291.37
11/12/2024,2292.83,2292.83
11/11/2024,2308.18,2308.18
11/8/2024,2308.18,2308.18
11/7/2024,2303.53,2303.53
11/6/2024,2291.12,2291.12
11/5/2024,2309.75,2309.75
11/4/2024,2308.31,2308.31
11/1/2024,2297.39,2297.39
10/31/2024,2308.14,2308.14
10/30/2024,2307.28,2307.28
10/29/2024,2308.77,2308.77
10/28/2024,2307.48,2307.48
10/25/2024,2310.54,2310.54
10/24/2024,2314.99,2314.99
10/23/2024,2310.91,2310.91
10/22/2024,2314.77,2314.77
10/21/2024,2315.68,2315.68
10/18/2024,2328.98,2328.98
10/17/2024,2327.04,2327.04
10/16/2024,2337.4,2337.4
10/15/2024,2334.48,2334.48
10/14/2024,2326.68,2326.68
10/11/2024,2326.68,2326.68
10/10/2024,2327.03,2327.03
10/9/2024,2327.55,2327.55
10/8/2024,2333.61,2333.61
10/7/2024,2332.01,2332.01
10/4/2024,2338.19,2338.19
10/3/2024,2356.15,2356.15
10/2/2024,2365.15,2365.15
10/1/2024,2370.9,2370.9
9/30/2024,2364.44,2364.44
9/27/2024,2369.99,2369.99
9/26/2024,2363.32,2363.32
9/25/2024,2364.5,2364.5
9/24/2024,2371.63,2371.63
9/23/2024,2369.22,2369.22
9/20/2024,2370.49,2370.49
9/19/2024,2371.52,2371.52
9/18/2024,2372.18,2372.18
9/17/2024,2380.95,2380.95
9/16/2024,2384.9,2384.9
9/13/2024,2378.27,2378.27
9/12/2024,2374.06,2374.06
9/11/2024,2377.32,2377.32
9/10/2024,2379.24,2379.24
9/9/2024,2371.07,2371.07
9/6/2024,2368.49,2368.49
9/5/2024,2364.66,2364.66
9/4/2024,2360.3,2360.3
9/3/2024,2348.65,2348.65
9/2/2024,2336.35,2336.35
8/30/2024,2336.35,2336.35
8/29/2024,2342.33,2342.33
8/28/2024,2345.72,2345.72
8/27/2024,2346.48,2346.48
8/26/2024,2346.58,2346.58
8/23/2024,2348.19,2348.19
8/22/2024,2340.08,2340.08
8/21/2024,2349.32,2349.32
8/20/2024,2345.53,2345.53
8/19/2024,2337.65,2337.65
8/16/2024,2334.58,2334.58
8/15/2024,2330.82,2330.82
8/14/2024,2342.38,2342.38
8/13/2024,2339.3,2339.3
8/12/2024,2331.69,2331.69
8/9/2024,2326.55,2326.55
8/8/2024,2320.06,2320.06
8/7/2024,2325.57,2325.57
8/6/2024,2331.69,2331.69
8/5/2024,2348.78,2348.78
8/2/2024,2346.1,2346.1
8/1/2024,2316.53,2316.53
7/31/2024,2306.84,2306.84
7/30/2024,2294.86,2294.86
7/29/2024,2291.35,2291.35
7/26/2024,2287.72,2287.72
7/25/2024,2280.01,2280.01
7/24/2024,2275.55,2275.55
7/23/2024,2280.22,2280.22
7/22/2024,2279.22,2279.22
7/19/2024,2280.87,2280.87
7/18/2024,2285.98,2285.98
7/17/2024,2291.5,2291.5
7/16/2024,2290.42,2290.42
7/15/2024,2281.98,2281.98
7/12/2024,2287.14,2287.14
7/11/2024,2282.89,2282.89
7/10/2024,2271.49,2271.49
7/9/2024,2269.8,2269.8
7/8/2024,2271.83,2271.83
7/5/2024,2270.73,2270.73
7/4/2024,2261.69,2261.69
7/3/2024,2261.69,2261.69
7/2/2024,2250.68,2250.68
7/1/2024,2244.56,2244.56
6/28/2024,2257.45,2257.45
6/27/2024,2266.85,2266.85
6/26/2024,2263.05,2263.05
6/25/2024,2273.78,2273.78
6/24/2024,2272.25,2272.25
6/21/2024,2269.94,2269.94
6/20/2024,2269.74,2269.74
6/19/2024,2274.17,2274.17
6/18/2024,2274.17,2274.17
6/17/2024,2266.07,2266.07
6/14/2024,2273.95,2273.95
6/13/2024,2269.76,2269.76
6/12/2024,2257.74,2257.74
6/11/2024,2249.29,2249.29
6/10/2024,2240.78,2240.78
6/7/2024,2244.07,2244.07
6/6/2024,2262.09,2262.09
6/5/2024,2262.04,2262.04
6/4/2024,2255.75,2255.75
6/3/2024,2246.06,2246.06
5/31/2024,2234.91,2234.91
5/30/2024,2226.91,2226.91
